path                                       status  ms     result  detail
/                                          307     356    pass    location /new; x-robots-tag noindex
/new                                       200     208    pass    18537 chars; 3/3 shell marks; noindex
/deck/gt-brand                             200     1952   pass    375223 chars; 0 notes key(s)
/edit/gt-brand                             200     143    pass    18623 chars; 3/3 shell marks
/decks                                     200     3270   pass    14 card(s)
/decks/trash                               200     292    pass    21445 chars
/print/gt-brand                            200     266    pass    85 page(s)
/present/gt-brand                          200     113    pass    18915 chars
/decks/gt-brand/assets/cover-fumadocs.png  200     247    pass    image/png 335538 B
/api/agent                                 401     178    pass    bearer rule
10/10 passed against https://turboslide.vercel.app/
