skip  /s/<token> exchange: pass --share-token <token> (SPEC-3 6.4; B3 route)
skip  410 after unpublish: pass --publish-token <token> (SPEC-3 6.4; B2 route)
skip  private document 403: the private store of SPEC-3 11.5 R2 is not connected this round
skip  twin URL not derivable: the storage layout v2 (d/<id>/<assetKey>/) lands with the migration
skip  restricted 404: pass --restricted <deck id> with an access record
path                                       status  ms     result  detail
/                                          307     177    pass    location /new; x-robots-tag noindex
/new                                       200     147    pass    29960 chars; 3/3 shell marks; noindex
/deck/gt-brand                             200     1408   pass    393513 chars; 0 notes key(s)
/edit/gt-brand                             200     256    pass    30046 chars; 3/3 shell marks
/decks                                     200     5907   pass    16 card(s)
/decks/trash                               200     5909   pass    31305 chars
/print/gt-brand                            200     584    pass    85 page(s)
/present/gt-brand                          200     91     pass    29810 chars
/decks/gt-brand/assets/cover-fumadocs.png  200     236    pass    image/png 335538 B
/api/agent                                 401     128    pass    bearer rule
headers /                                  307     110    pass    every header; csp worker-src blob ok; x-frame-options DENY
headers /edit/gt-brand                     200     117    pass    every header; csp worker-src blob ok; x-frame-options DENY
headers /deck/gt-brand                     200     410    pass    every header; csp worker-src blob ok; x-frame-options DENY
headers /embed/gt-brand                    200     427    pass    x-frame-options none; https://prototemplate.com https://*.prototemplate.com
json asset attachment                      200     113    pass    attachment; sandbox; default-src 'none'
cross site text/plain POST                 415     83     pass    415
unsigned thumbnail                         200     3246   pass    shadow: served and logged
csp report endpoint                        204     85     pass    204
18/18 passed against https://turboslide.vercel.app/
